,id,gene_short_name,num_cells_expressed,use_for_ordering
ENSMUSG00000051951,ENSMUSG00000051951,Xkr4,98,FALSE
ENSMUSG00000089699,ENSMUSG00000089699,Gm1992,0,FALSE
ENSMUSG00000102343,ENSMUSG00000102343,Gm37381,44,FALSE
ENSMUSG00000025900,ENSMUSG00000025900,Rp1,31,FALSE
ENSMUSG00000109048,ENSMUSG00000109048,Rp1,0,FALSE
ENSMUSG00000025902,ENSMUSG00000025902,Sox17,19260,TRUE
ENSMUSG00000104328,ENSMUSG00000104328,Gm37323,31,FALSE
ENSMUSG00000033845,ENSMUSG00000033845,Mrpl15,29101,FALSE
ENSMUSG00000025903,ENSMUSG00000025903,Lypla1,24421,FALSE
ENSMUSG00000104217,ENSMUSG00000104217,Gm37988,31,FALSE
ENSMUSG00000033813,ENSMUSG00000033813,Tcea1,25465,FALSE
ENSMUSG00000002459,ENSMUSG00000002459,Rgs20,745,FALSE
ENSMUSG00000085623,ENSMUSG00000085623,Gm16041,6,FALSE
ENSMUSG00000033793,ENSMUSG00000033793,Atp6v1h,21283,FALSE
ENSMUSG00000025905,ENSMUSG00000025905,Oprk1,46,FALSE
ENSMUSG00000033774,ENSMUSG00000033774,Npbwr1,13,FALSE
ENSMUSG00000025907,ENSMUSG00000025907,Rb1cc1,14180,FALSE
ENSMUSG00000090031,ENSMUSG00000090031,4732440D04Rik,1772,FALSE
ENSMUSG00000087247,ENSMUSG00000087247,Fam150a,104,FALSE
ENSMUSG00000033740,ENSMUSG00000033740,St18,117,FALSE
ENSMUSG00000051285,ENSMUSG00000051285,Pcmtd1,19191,FALSE
ENSMUSG00000097797,ENSMUSG00000097797,Gm26901,1521,FALSE
ENSMUSG00000103067,ENSMUSG00000103067,Gm30414,287,FALSE
ENSMUSG00000025909,ENSMUSG00000025909,Sntg1,185,FALSE
ENSMUSG00000061024,ENSMUSG00000061024,Rrs1,18056,FALSE
ENSMUSG00000025911,ENSMUSG00000025911,Adhfe1,1104,FALSE
ENSMUSG00000067879,ENSMUSG00000067879,3110035E14Rik,3,FALSE
ENSMUSG00000099827,ENSMUSG00000099827,Gm29520,0,FALSE
ENSMUSG00000025912,ENSMUSG00000025912,Mybl1,2932,FALSE
ENSMUSG00000045210,ENSMUSG00000045210,Vcpip1,10982,FALSE
ENSMUSG00000097893,ENSMUSG00000097893,1700034P13Rik,536,FALSE
ENSMUSG00000025915,ENSMUSG00000025915,Sgk3,5953,FALSE
ENSMUSG00000046101,ENSMUSG00000046101,Mcmdc2,1384,FALSE
ENSMUSG00000098234,ENSMUSG00000098234,Snhg6,34039,FALSE
ENSMUSG00000099032,ENSMUSG00000099032,Tcf24,2504,FALSE
ENSMUSG00000025916,ENSMUSG00000025916,Ppp1r42,26,FALSE
ENSMUSG00000087199,ENSMUSG00000087199,Gm15818,0,FALSE
ENSMUSG00000025917,ENSMUSG00000025917,Cops5,28389,FALSE
ENSMUSG00000056763,ENSMUSG00000056763,Cspp1,16333,FALSE
ENSMUSG00000067851,ENSMUSG00000067851,Arfgef1,19946,FALSE
ENSMUSG00000042501,ENSMUSG00000042501,Cpa6,427,FALSE
ENSMUSG00000048960,ENSMUSG00000048960,Prex2,2004,FALSE
ENSMUSG00000057715,ENSMUSG00000057715,A830018L16Rik,991,FALSE
ENSMUSG00000097171,ENSMUSG00000097171,Gm17644,8,FALSE
ENSMUSG00000101314,ENSMUSG00000101314,Gm29663,3,FALSE
ENSMUSG00000016918,ENSMUSG00000016918,Sulf1,4336,FALSE
ENSMUSG00000025938,ENSMUSG00000025938,Slco5a1,1794,FALSE
ENSMUSG00000099498,ENSMUSG00000099498,Gm29283,1,FALSE
ENSMUSG00000042414,ENSMUSG00000042414,Prdm14,2439,FALSE
ENSMUSG00000005886,ENSMUSG00000005886,Ncoa2,13448,FALSE
ENSMUSG00000101476,ENSMUSG00000101476,Gm29570,9,FALSE
ENSMUSG00000025935,ENSMUSG00000025935,Tram1,30034,FALSE
ENSMUSG00000025937,ENSMUSG00000025937,Lactb2,16133,TRUE
ENSMUSG00000067813,ENSMUSG00000067813,Xkr9,309,FALSE
ENSMUSG00000025932,ENSMUSG00000025932,Eya1,828,FALSE
ENSMUSG00000054493,ENSMUSG00000054493,Gm9947,149,FALSE
ENSMUSG00000025930,ENSMUSG00000025930,Msc,1454,FALSE
ENSMUSG00000032769,ENSMUSG00000032769,Trpa1,113,FALSE
ENSMUSG00000092083,ENSMUSG00000092083,Kcnb2,840,FALSE
ENSMUSG00000025925,ENSMUSG00000025925,Terf1,15861,FALSE
ENSMUSG00000032719,ENSMUSG00000032719,Sbspon,1899,FALSE
ENSMUSG00000067795,ENSMUSG00000067795,4930444P10Rik,1119,FALSE
ENSMUSG00000043716,ENSMUSG00000043716,Rpl7,36171,FALSE
ENSMUSG00000025921,ENSMUSG00000025921,Rdh10,10664,FALSE
ENSMUSG00000100868,ENSMUSG00000100868,Gm28095,2,FALSE
ENSMUSG00000025920,ENSMUSG00000025920,Stau2,8098,FALSE
ENSMUSG00000089982,ENSMUSG00000089982,Gm7568,4,FALSE
ENSMUSG00000025939,ENSMUSG00000025939,Ube2w,16517,FALSE
ENSMUSG00000079658,ENSMUSG00000079658,Tceb1,34445,FALSE
ENSMUSG00000097744,ENSMUSG00000097744,D030040B21Rik,162,FALSE
ENSMUSG00000025940,ENSMUSG00000025940,Tmem70,20230,FALSE
ENSMUSG00000025779,ENSMUSG00000025779,Ly96,4487,FALSE
ENSMUSG00000101640,ENSMUSG00000101640,Gm28376,1,FALSE
ENSMUSG00000042686,ENSMUSG00000042686,Jph1,1526,FALSE
ENSMUSG00000100110,ENSMUSG00000100110,Gm28783,10,FALSE
ENSMUSG00000025777,ENSMUSG00000025777,Gdap1,215,FALSE
ENSMUSG00000099899,ENSMUSG00000099899,Gm28784,1,FALSE
ENSMUSG00000067780,ENSMUSG00000067780,Pi15,442,FALSE
ENSMUSG00000100053,ENSMUSG00000100053,Gm28154,30,FALSE
ENSMUSG00000085125,ENSMUSG00000085125,Gm16070,27,FALSE
ENSMUSG00000025776,ENSMUSG00000025776,Crispld1,718,FALSE
ENSMUSG00000099895,ENSMUSG00000099895,Gm28153,2,FALSE
ENSMUSG00000025774,ENSMUSG00000025774,Crisp4,0,FALSE
ENSMUSG00000073735,ENSMUSG00000073735,Defb18,0,FALSE
ENSMUSG00000067773,ENSMUSG00000067773,Defb41,19,FALSE
ENSMUSG00000101738,ENSMUSG00000101738,Gm29006,0,FALSE
ENSMUSG00000089787,ENSMUSG00000089787,Gm15825,13,FALSE
ENSMUSG00000042596,ENSMUSG00000042596,Tfap2d,2,FALSE
ENSMUSG00000025927,ENSMUSG00000025927,Tfap2b,1159,FALSE
ENSMUSG00000100538,ENSMUSG00000100538,Gm28340,0,FALSE
ENSMUSG00000043760,ENSMUSG00000043760,Pkhd1,140,FALSE
ENSMUSG00000089914,ENSMUSG00000089914,4930486I03Rik,0,FALSE
ENSMUSG00000099906,ENSMUSG00000099906,Gm28653,4,FALSE
ENSMUSG00000025929,ENSMUSG00000025929,Il17a,2,FALSE
ENSMUSG00000041872,ENSMUSG00000041872,Il17f,136,FALSE
ENSMUSG00000041859,ENSMUSG00000041859,Mcm3,13829,FALSE
ENSMUSG00000102121,ENSMUSG00000102121,Gm28065,0,FALSE
ENSMUSG00000097934,ENSMUSG00000097934,6720483E21Rik,191,FALSE
ENSMUSG00000025931,ENSMUSG00000025931,Paqr8,5849,FALSE
ENSMUSG00000041809,ENSMUSG00000041809,Efhc1,1359,FALSE
ENSMUSG00000041779,ENSMUSG00000041779,Tram2,9355,FALSE
ENSMUSG00000099971,ENSMUSG00000099971,Gm28287,2,FALSE
ENSMUSG00000025933,ENSMUSG00000025933,Tmem14a,8783,FALSE
ENSMUSG00000025934,ENSMUSG00000025934,Gsta3,2554,FALSE
ENSMUSG00000099343,ENSMUSG00000099343,Gm28836,1166,FALSE
ENSMUSG00000067750,ENSMUSG00000067750,Khdc1a,2666,FALSE
ENSMUSG00000041722,ENSMUSG00000041722,Khdc1c,900,TRUE
ENSMUSG00000085079,ENSMUSG00000085079,Khdc1b,232,FALSE
ENSMUSG00000028033,ENSMUSG00000028033,Kcnq5,2736,FALSE
ENSMUSG00000097109,ENSMUSG00000097109,Gm26580,59,FALSE
ENSMUSG00000041670,ENSMUSG00000041670,Rims1,948,FALSE
ENSMUSG00000073730,ENSMUSG00000073730,4933415F23Rik,49,FALSE
ENSMUSG00000097970,ENSMUSG00000097970,Gm27028,0,FALSE
ENSMUSG00000100775,ENSMUSG00000100775,Gm29107,492,FALSE
